MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,VesselType,Length,Draft,Status
210875340,2026-08-26 00:00:00,27.29291,50.74127,15.9,132.5,134.0,MS SAGAR,passenger,78.2,4.5,0
210875340,2026-08-26 00:10:00,27.26293,50.7778,16.3,133.1,134.0,MS SAGAR,passenger,78.2,4.5,0
210875340,2026-08-26 00:20:00,27.23219,50.81527,15.9,132.4,132.0,MS SAGAR,passenger,78.2,4.5,0
210875340,2026-08-26 00:30:00,27.2022,50.85179,15.9,134.4,132.0,MS SAGAR,passenger,78.2,4.5,0
210875340,2026-08-26 00:40:00,27.17217,50.88835,15.9,131.8,135.0,MS SAGAR,passenger,78.2,4.5,0
210875340,2026-08-26 00:50:00,27.14219,50.92486,16.3,134.3,133.0,MS SAGAR,passenger,78.2,4.5,0
210875340,2026-08-26 01:00:00,27.11158,50.96211,16.1,132.6,134.0,MS SAGAR,passenger,78.2,4.5,0
210875340,2026-08-26 01:10:00,27.08135,50.9989,16.0,132.8,133.0,MS SAGAR,passenger,78.2,4.5,0
210875340,2026-08-26 01:20:00,27.05124,51.03552,16.0,132.4,132.0,MS SAGAR,passenger,78.2,4.5,0
210875340,2026-08-26 01:30:00,27.02107,51.07222,16.3,135.4,129.0,MS SAGAR,passenger,78.2,4.5,0
210875340,2026-08-26 01:40:00,26.9903,51.10962,15.6,131.7,132.0,MS SAGAR,passenger,78.2,4.5,0
210875340,2026-08-26 01:50:00,26.96093,51.14532,16.1,133.3,133.0,MS SAGAR,passenger,78.2,4.5,0
210875340,2026-08-26 02:00:00,26.93055,51.18224,16.0,132.0,132.0,MS SAGAR,passenger,78.2,4.5,0
210875340,2026-08-26 02:10:00,26.90034,51.21894,15.9,131.1,129.0,MS SAGAR,passenger,78.2,4.5,0
210875340,2026-08-26 02:20:00,26.87039,51.25532,15.6,133.5,133.0,MS SAGAR,passenger,78.2,4.5,0
210875340,2026-08-26 02:30:00,26.84096,51.29105,16.1,130.9,128.0,MS SAGAR,passenger,78.2,4.5,0
210875340,2026-08-26 02:40:00,26.81071,51.32777,16.1,129.9,136.0,MS SAGAR,passenger,78.2,4.5,0
210875340,2026-08-26 02:50:00,26.78043,51.36451,15.5,133.5,130.0,MS SAGAR,passenger,78.2,4.5,0
210875340,2026-08-26 03:00:00,26.75133,51.39982,16.2,135.9,126.0,MS SAGAR,passenger,78.2,4.5,0
210875340,2026-08-26 03:10:00,26.72087,51.43676,16.1,130.9,134.0,MS SAGAR,passenger,78.2,4.5,0
210875340,2026-08-26 03:20:00,26.69059,51.47349,15.9,132.8,130.0,MS SAGAR,passenger,78.2,4.5,0
210875340,2026-08-26 03:30:00,26.66072,51.50969,16.1,131.3,136.0,MS SAGAR,passenger,78.2,4.5,0
210875340,2026-08-26 03:40:00,26.63039,51.54645,15.8,131.3,137.0,MS SAGAR,passenger,78.2,4.5,0
210875340,2026-08-26 03:50:00,26.60062,51.58251,15.9,134.6,136.0,MS SAGAR,passenger,78.2,4.5,0
210875340,2026-08-26 04:00:00,26.57069,51.61877,15.7,132.6,133.0,MS SAGAR,passenger,78.2,4.5,0
210875340,2026-08-26 04:10:00,26.54111,51.6546,16.3,133.1,133.0,MS SAGAR,passenger,78.2,4.5,0
210875340,2026-08-26 04:20:00,26.51043,51.69174,15.9,132.7,137.0,MS SAGAR,passenger,78.2,4.5,0
210875340,2026-08-26 04:30:00,26.48056,51.72789,15.9,132.3,131.0,MS SAGAR,passenger,78.2,4.5,0
210875340,2026-08-26 04:40:00,26.4506,51.76415,15.8,131.3,130.0,MS SAGAR,passenger,78.2,4.5,0
210875340,2026-08-26 04:50:00,26.4209,51.80008,16.3,132.5,135.0,MS SAGAR,passenger,78.2,4.5,0
210875340,2026-08-26 05:00:00,26.39023,51.83717,15.3,133.3,132.0,MS SAGAR,passenger,78.2,4.5,0
210875340,2026-08-26 05:10:00,26.36144,51.87198,15.8,132.9,131.0,MS SAGAR,passenger,78.2,4.5,0
210875340,2026-08-26 05:20:00,26.3317,51.90793,15.4,133.6,133.0,MS SAGAR,passenger,78.2,4.5,0
210875340,2026-08-26 05:30:00,26.30274,51.94293,15.8,131.7,128.0,MS SAGAR,passenger,78.2,4.5,0
210875340,2026-08-26 05:40:00,26.27293,51.97895,16.0,134.3,133.0,MS SAGAR,passenger,78.2,4.5,0
210875340,2026-08-26 05:50:00,26.24286,52.01526,15.6,132.9,133.0,MS SAGAR,passenger,78.2,4.5,0
210875340,2026-08-26 06:00:00,26.21355,52.05066,16.1,133.3,124.0,MS SAGAR,passenger,78.2,4.5,0
210875340,2026-08-26 06:10:00,26.18318,52.08732,16.0,131.7,128.0,MS SAGAR,passenger,78.2,4.5,0
210875340,2026-08-26 06:20:00,26.15296,52.12379,15.9,133.1,128.0,MS SAGAR,passenger,78.2,4.5,0
210875340,2026-08-26 06:30:00,26.12309,52.15984,16.1,133.5,133.0,MS SAGAR,passenger,78.2,4.5,0
210875340,2026-08-26 06:40:00,26.15338,52.12327,15.7,311.7,316.0,MS SAGAR,passenger,78.2,4.5,0
210875340,2026-08-26 06:50:00,26.18292,52.0876,15.5,313.8,312.0,MS SAGAR,passenger,78.2,4.5,0
210875340,2026-08-26 07:00:00,26.21216,52.05228,15.9,311.0,312.0,MS SAGAR,passenger,78.2,4.5,0
210875340,2026-08-26 07:10:00,26.24207,52.01614,16.1,311.4,314.0,MS SAGAR,passenger,78.2,4.5,0
210875340,2026-08-26 07:20:00,26.27231,51.97959,15.9,312.1,315.0,MS SAGAR,passenger,78.2,4.5,0
210875340,2026-08-26 07:30:00,26.3023,51.94333,15.4,313.1,318.0,MS SAGAR,passenger,78.2,4.5,0
210875340,2026-08-26 07:40:00,26.33122,51.90837,16.3,313.1,312.0,MS SAGAR,passenger,78.2,4.5,0
210875340,2026-08-26 07:50:00,26.36185,51.87132,15.8,312.4,314.0,MS SAGAR,passenger,78.2,4.5,0
210875340,2026-08-26 08:00:00,26.3915,51.83545,15.7,313.5,319.0,MS SAGAR,passenger,78.2,4.5,0
210875340,2026-08-26 08:10:00,26.42107,51.79966,15.9,311.4,309.0,MS SAGAR,passenger,78.2,4.5,0
210875340,2026-08-26 08:20:00,26.451,51.76344,16.1,312.6,315.0,MS SAGAR,passenger,78.2,4.5,0
210875340,2026-08-26 08:30:00,26.48131,51.72674,15.8,313.5,312.0,MS SAGAR,passenger,78.2,4.5,0
210875340,2026-08-26 08:40:00,26.51102,51.69077,15.7,312.3,309.0,MS SAGAR,passenger,78.2,4.5,0
210875340,2026-08-26 08:50:00,26.54062,51.6549,16.4,312.6,315.0,MS SAGAR,passenger,78.2,4.5,0
210875340,2026-08-26 09:00:00,26.57151,51.61748,15.8,311.7,312.0,MS SAGAR,passenger,78.2,4.5,0
210875340,2026-08-26 09:10:00,26.60121,51.58148,16.2,312.2,310.0,MS SAGAR,passenger,78.2,4.5,0
210875340,2026-08-26 09:20:00,26.63168,51.54454,16.0,313.2,318.0,MS SAGAR,passenger,78.2,4.5,0
210875340,2026-08-26 09:30:00,26.66171,51.50813,16.0,313.3,315.0,MS SAGAR,passenger,78.2,4.5,0
210875340,2026-08-26 09:40:00,26.69182,51.4716,15.6,311.7,309.0,MS SAGAR,passenger,78.2,4.5,0
210875340,2026-08-26 09:50:00,26.72123,51.43591,15.6,313.5,314.0,MS SAGAR,passenger,78.2,4.5,0
210875340,2026-08-26 10:00:00,26.75056,51.40032,15.9,310.1,319.0,MS SAGAR,passenger,78.2,4.5,0
210875340,2026-08-26 10:10:00,26.78055,51.36392,15.7,314.8,308.0,MS SAGAR,passenger,78.2,4.5,0
210875340,2026-08-26 10:20:00,26.81008,51.32806,15.7,310.5,314.0,MS SAGAR,passenger,78.2,4.5,0
210875340,2026-08-26 10:30:00,26.83965,51.29215,15.6,311.6,309.0,MS SAGAR,passenger,78.2,4.5,0
210875340,2026-08-26 10:40:00,26.86908,51.25639,16.1,313.4,318.0,MS SAGAR,passenger,78.2,4.5,0
210875340,2026-08-26 10:50:00,26.8994,51.21955,15.7,312.9,309.0,MS SAGAR,passenger,78.2,4.5,0
210875340,2026-08-26 11:00:00,26.92903,51.18353,15.8,312.2,314.0,MS SAGAR,passenger,78.2,4.5,0
210875340,2026-08-26 11:10:00,26.95883,51.14731,16.2,313.7,310.0,MS SAGAR,passenger,78.2,4.5,0
210875340,2026-08-26 11:20:00,26.98926,51.1103,16.2,312.7,312.0,MS SAGAR,passenger,78.2,4.5,0
210875340,2026-08-26 11:30:00,27.01968,51.07329,15.7,312.1,318.0,MS SAGAR,passenger,78.2,4.5,0
210875340,2026-08-26 11:40:00,27.0493,51.03725,16.0,312.9,312.0,MS SAGAR,passenger,78.2,4.5,0
210875340,2026-08-26 11:50:00,27.07939,51.00062,16.5,314.0,311.0,MS SAGAR,passenger,78.2,4.5,0
210875340,2026-08-26 12:00:00,27.1105,50.96275,15.8,312.5,313.0,MS SAGAR,passenger,78.2,4.5,0
210875340,2026-08-26 12:10:00,27.14032,50.92643,15.7,313.1,317.0,MS SAGAR,passenger,78.2,4.5,0
210875340,2026-08-26 12:20:00,27.16994,50.89035,15.6,311.6,311.0,MS SAGAR,passenger,78.2,4.5,0
210875340,2026-08-26 12:30:00,27.19928,50.85461,15.8,314.7,316.0,MS SAGAR,passenger,78.2,4.5,0
210875340,2026-08-26 12:40:00,27.22902,50.81835,16.1,312.4,312.0,MS SAGAR,passenger,78.2,4.5,0
210875340,2026-08-26 12:50:00,27.25942,50.7813,15.5,313.5,314.0,MS SAGAR,passenger,78.2,4.5,0
210875340,2026-08-26 13:00:00,27.28869,50.7456,16.2,312.5,312.0,MS SAGAR,passenger,78.2,4.5,0
210875340,2026-08-26 13:10:00,27.25812,50.78286,16.0,133.6,128.0,MS SAGAR,passenger,78.2,4.5,0
210875340,2026-08-26 13:20:00,27.22808,50.81946,16.1,132.7,130.0,MS SAGAR,passenger,78.2,4.5,0
210875340,2026-08-26 13:30:00,27.19777,50.85637,15.4,132.6,137.0,MS SAGAR,passenger,78.2,4.5,0
210875340,2026-08-26 13:40:00,27.16879,50.89167,16.3,133.1,139.0,MS SAGAR,passenger,78.2,4.5,0
210875340,2026-08-26 13:50:00,27.13804,50.9291,15.9,133.7,131.0,MS SAGAR,passenger,78.2,4.5,0
210875340,2026-08-26 14:00:00,27.1081,50.96554,15.8,132.0,127.0,MS SAGAR,passenger,78.2,4.5,0
210875340,2026-08-26 14:10:00,27.07838,51.0017,16.2,132.1,130.0,MS SAGAR,passenger,78.2,4.5,0
210875340,2026-08-26 14:20:00,27.04781,51.03888,15.6,132.5,138.0,MS SAGAR,passenger,78.2,4.5,0
210875340,2026-08-26 14:30:00,27.01841,51.07464,16.4,131.0,132.0,MS SAGAR,passenger,78.2,4.5,0
210875340,2026-08-26 14:40:00,26.98746,51.11227,15.7,133.7,134.0,MS SAGAR,passenger,78.2,4.5,0
210875340,2026-08-26 14:50:00,26.95799,51.14809,15.8,132.8,131.0,MS SAGAR,passenger,78.2,4.5,0
210875340,2026-08-26 15:00:00,26.92832,51.18414,16.3,133.3,135.0,MS SAGAR,passenger,78.2,4.5,0
210875340,2026-08-26 15:10:00,26.8976,51.22146,15.2,132.6,139.0,MS SAGAR,passenger,78.2,4.5,0
210875340,2026-08-26 15:20:00,26.8689,51.25632,16.2,130.9,132.0,MS SAGAR,passenger,78.2,4.5,0
210875340,2026-08-26 15:30:00,26.83831,51.29346,15.6,134.4,133.0,MS SAGAR,passenger,78.2,4.5,0
210875340,2026-08-26 15:40:00,26.80892,51.32914,15.7,132.7,125.0,MS SAGAR,passenger,78.2,4.5,0
210875340,2026-08-26 15:50:00,26.77932,51.36506,15.6,132.7,135.0,MS SAGAR,passenger,78.2,4.5,0
210875340,2026-08-26 16:00:00,26.74987,51.40079,15.4,132.3,136.0,MS SAGAR,passenger,78.2,4.5,0
